"anime_id","title","type","source","episodes","status","rating","score","scored_by","rank","popularity","members","favorites","premiered","broadcast","producer","producer_count","licensor","licensor_count","studio","studio_count","genre","genre_count","duration_min","aired_from_year"
4181,"Clannad: After Story","TV","Visual novel",24,"Finished Airing","PG-13 - Teens 13 or older",9.01,363239,14,55,607387,47380,"Fall 2008","Fridays at 01:59 (JST)","Pony Canyon, TBS, Rakuonsha, Animation Do",4,"Sentai Filmworks",1,"Kyoto Animation",1,"Slice of Life, Comedy, Supernatural, Drama, Romance",5,24,2008
3545,"Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV)","TV","Manga",373,"Finished Airing","PG-13 - Teens 13 or older",7.79,1975,902,4301,6838,84,"Summer 1996","Sundays at 19:00 (JST)","Asatsu DK, Fuji TV",2,"",0,"Studio Gallop",1,"Slice of Life, Comedy, Police",3,25,1996
36297,"Hachigatsu no Cinderella Nine","ONA","Game",1,"Finished Airing","G - All Ages",5.5,74,8371,10706,263,0,"","","",0,"",0,"A-1 Pictures",1,"Music, Sports",2,3,2016
34281,"High School DxD Hero","TV","Light novel",12,"Currently Airing","R+ - Mild Nudity",7.58,10190,1427,819,106269,934,"Spring 2018","Tuesdays at 23:00 (JST)","",0,"Funimation",1,"Passione",1,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",7,23,2018
32899,"Watashi ga Motete Dousunda","TV","Manga",12,"Finished Airing","PG-13 - Teens 13 or older",7.41,62364,2001,589,141499,947,"Fall 2016","Fridays at 01:58 (JST)","TBS, Kodansha, DAX Production, Nippon Columbia, RAY",5,"Funimation",1,"Brain&#039;s Base",1,"Harem, Comedy, Romance, School, Shoujo",5,23,2016
1070,"Love Get Chu","TV","Visual novel",25,"Finished Airing","PG-13 - Teens 13 or older",6.69,1302,4808,4430,6362,8,"Spring 2006","Unknown","",0,"",0,"Radix",1,"Comedy, Romance",2,24,2006
31715,"Working!!!: Lord of the Takanashi","Special","4-koma manga",1,"Finished Airing","PG-13 - Teens 13 or older",8.29,32129,253,1483,52617,136,"","","",0,"Aniplex of America",1,"A-1 Pictures",1,"Slice of Life, Comedy, Romance",3,49,2016
465,"One Piece Movie 7: Karakuri-jou no Mecha Kyohei","Movie","Manga",1,"Finished Airing","PG-13 - Teens 13 or older",7.41,22618,1985,1781,39925,16,"","","Fuji Pacific Music Publishing, Shueisha",2,"",0,"Toei Animation",1,"Adventure, Comedy, Fantasy, Shounen",4,94,2006
167,"Scrapped Princess","TV","Light novel",24,"Finished Airing","PG-13 - Teens 13 or older",7.48,28908,1704,1199,67810,411,"Spring 2003","Tuesdays at 18:00 (JST)","Kadokawa Shoten, A-Line",2,"Funimation, Bandai Entertainment",2,"Bones",1,"Adventure, Comedy, Drama, Fantasy, Mecha, Sci-Fi, Shounen",7,23,2003
10638,"Denpa Onna to Seishun Otoko: Mayonaka no Taiyou","Special","Light novel",1,"Finished Airing","PG-13 - Teens 13 or older",7.38,23900,2104,1742,41273,27,"","","",0,"NIS America, Inc.",1,"Shaft",1,"Sci-Fi, Comedy",2,29,2012
37505,"Grancrest Senki Tsuisou","Special","Light novel",1,"Finished Airing","R - 17+ (violence & profanity)",6.32,1486,6309,5120,4442,5,"","","",0,"",0,"A-1 Pictures",1,"Action, Fantasy",2,23,2018
3003,"Yumedamaya Kidan","Special","Original",1,"Finished Airing","PG - Children",6.64,1196,5040,6681,2168,1,"","","",0,"",0,"Production I.G",1,"Drama, Fantasy",2,24,2007
7793,"Ring ni Kakero 1: Kage Dou-hen","TV","Manga",6,"Finished Airing","PG-13 - Teens 13 or older",6.81,216,4291,8417,930,12,"Spring 2010","Unknown","",0,"",0,"Toei Animation",1,"Action, Shounen, Sports",3,21,2010
36468,"Shoujo Shuumatsu Jugyou","ONA","Manga",12,"Finished Airing","G - All Ages",6.51,1901,5578,4874,4988,3,"","","Kadokawa",1,"",0,"Studio PuYUKAI",1,"Comedy, Parody, School",3,1,2017
23137,"Girls & Panzer Heartful Tank Disc Picture Drama","Special","Original",4,"Finished Airing","PG-13 - Teens 13 or older",6.7,703,4753,5701,3383,2,"","","Lantis",1,"",0,"Actas",1,"Military, School",2,10,2013
34239,"Mutsugo to Ouma no Monogatari","ONA","Manga",6,"Finished Airing","PG-13 - Teens 13 or older",6.44,316,5845,6992,1889,4,"","","TV Tokyo",1,"",0,"Studio Pierrot",1,"Comedy, Parody, Sports",3,2,2016
33080,"Brotherhood: Final Fantasy XV","ONA","Game",5,"Finished Airing","PG-13 - Teens 13 or older",7.12,25961,3115,1575,47830,129,"","","Square Enix, RightTracks",2,"",0,"A-1 Pictures",1,"Action",1,14,2016
33213,"Onizushi","ONA","Original",3,"Finished Airing","PG - Children",5.75,70,7905,10938,230,0,"","","",0,"",0,"Robot Communications",1,"Comedy, Demons",2,4,2016
21085,"Witch Craft Works","TV","Manga",12,"Finished Airing","PG-13 - Teens 13 or older",7.2,72650,2833,573,144837,373,"Winter 2014","Unknown","Bandai Visual, Lantis, Kodansha, Movic, I Will",5,"",0,"J.C.Staff",1,"Action, Fantasy, Magic, Seinen, Supernatural",5,23,2014
10324,"Tono to Issho: Gantai no Yabou","TV","4-koma manga",12,"Finished Airing","PG-13 - Teens 13 or older",6.64,765,5039,6561,2301,0,"Spring 2011","Unknown","Frontier Works",1,"",0,"Gathering",1,"Comedy, Historical, Parody, Samurai, Seinen",5,3,2011
34888,"Makeruna!! Aku no Gundan!","TV","Manga",12,"Finished Airing","None",5.31,506,8672,7733,1307,1,"Spring 2017","Wednesdays at 22:45 (JST)","Bushiroad",1,"",0,"Tatsunoko Production",1,"Comedy, Shounen",2,5,2017
37187,"Kuiba Yao Xia Zhuan","ONA","Web manga",20,"Finished Airing","PG-13 - Teens 13 or older",7,3,10997,13522,75,0,"","","",0,"",0,"Vasoon Animation",1,"Action, Adventure, Fantasy",3,10,2014
35220,"Youkai Apartment no Yuuga na Nichijou","TV","Novel",26,"Finished Airing","PG-13 - Teens 13 or older",7.18,12130,2911,1830,38323,115,"Summer 2017","Mondays at 23:00 (JST)","TMS Entertainment, Kodansha, Asmik Ace Entertainment, East Japan Marketing &amp; Communications, Sumitomo",5,"",0,"Shin-Ei Animation",1,"Slice of Life, Mystery, Supernatural",3,23,2017
1055,"Blame!","ONA","Manga",6,"Finished Airing","R+ - Mild Nudity",6.08,7192,7130,2698,19603,65,"","","",0,"Media Blasters",1,"Group TAC",1,"Sci-Fi, Mecha",2,6,2003
37258,"Omae wa Mada Gunma wo Shiranai","TV","Web manga",12,"Currently Airing","PG-13 - Teens 13 or older",5.28,1189,8726,4107,7697,3,"Spring 2018","Mondays at 20:55 (JST)","TOHO animation",1,"",0,"Asahi Production",1,"Comedy, School",2,3,2018
19367,"Galilei Donna","TV","Original",11,"Finished Airing","R - 17+ (violence & profanity)",6.47,19165,5717,1676,43888,46,"Fall 2013","Fridays at 00:50 (JST)","Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",4,"Discotek Media",1,"A-1 Pictures",1,"Action, Sci-Fi, Adventure",3,24,2013
6684,"Marie & Gali Special","Special","Original",1,"Finished Airing","G - All Ages",5.66,178,8085,9609,477,0,"","","",0,"",0,"Toei Animation",1,"Comedy",1,4,2009
8244,"Keshikasu-kun","TV","Manga",0,"Finished Airing","G - All Ages",4.62,13,10848,11308,193,0,"","Not scheduled once per week","",0,"",0,"Shogakukan Music &amp; Digital Entertainment",1,"Comedy, Kids",2,1,2010
33447,"Piace: Watashi no Italian","TV","Web manga",12,"Finished Airing","PG-13 - Teens 13 or older",5.91,4751,7551,3518,11127,8,"Winter 2017","Wednesdays at 22:30 (JST)","Pony Canyon, Studio NOIX, comico",3,"",0,"Zero-G",1,"Slice of Life, Comedy",2,4,2017
